Search performed Sat Nov 07 2020 18:54:37 GMT+0100 (hora estándar de Europa central) by Aritz Durana searchfields: sequence_type - wgs, material - compost all matches. (139 total)
PI_firstname	PI_lastname	PI_organization	PI_organization_country	aa_pid	alpha_diversity_shannon	assembled	average_gc_ratio_raw	average_length_raw	biome	biome_id	bowtie	bp_count_raw	collection_date	country	created_on	dereplicate	drisee_score_raw	env_package	env_package_id	env_package_name	env_package_type	feature	feature_id	fgs_type	file_type	filter_ambig	filter_ln	filter_ln_mult	investigation_type	job_id	latitude	library_id	library_name	location	longitude	m5nr_annotation_version	m5nr_sims_version	m5rna_annotation_version	m5rna_sims_version	material	material_id	max_ambig	metagenome_id	mixs_compliant	name	pipeline_version	prefix_length	priority	project_funding	project_id	project_name	public	rna_pid	sample_id	sample_name	screen_indexes	seq_meth	sequence_count_raw	sequence_type
Mingji	Lu	Gottingen university	Germany	90	189.266832924325	false	0.974	150	terrestrial biome	ENVO:00000446	true	12615445200	2012-02-08	USA	2017-06-05T19:01:17	true	45.733	soil	mge585799	C_10: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	317009	37.454581	mgl585800	SRX2021064	Milpitas, CA	-121.928712	1	7	1	7	compost soil	ENVO:00005747	5	690c39b45e6d676d343734393337362e33	false	SRX2021064	4.0.2	50	immediately	-	mgp80207	reference_metagenome	true	97	SRX2021064	C_10	h_sapiens	illumina	84102968	WGS
Mingji	Lu	Gottingen university	Germany	90	414.811756431283	false	0.573	150	terrestrial biome	ENVO:00000446	false	12040881600	2012-06-27	USA	2017-04-23T20:46:51	true	44.909	soil	mge575794	C_1: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	310178	37.86971	mgl575795	PRJNA366676	Berkeley, Ca	-122.31414	1	7	1	7	compost soil	ENVO:00005747	5	78599908986d676d343734323534352e33	false	PRJNA366676	4.0.2	50	immediately	-	mgp80207	reference_metagenome	true	97	mgs575793	C_1	h_sapiens	illumina	80272544	WGS
mingji	Lu	Gottingen university	Germany	90	405.409660382544	false	1.046	121.385	terrestrial biome	ENVO:00000446	false	2105754665	2012-02-06	Germany	2017-04-15T17:32:59	true	16.004	soil	mge575454	76.0: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	309616	51.5736388888889	mgl575455	MILM76_raw_joined	Kompost werk, Goettingen GmbH, Germany	9.90916666666667	1	7	1	7	compost soil	ENVO:00005747	5	3d31b2a2d26d676d343734313938332e33	false	MILM76_raw_joined	4.0.1	50	immediately		mgp80101	Raw	true	97	mgs575453	76	h_sapiens	illumina	17347679	WGS
mingji	Lu	Gottingen university	Germany	90	187.328713868629	false	0.654	114.564	terrestrial biome	ENVO:00000446	false	2319414508	2012-02-06	Germany	2017-04-15T17:32:49	true	2.314	soil	mge575451	55.0: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	309615	51.5736388888889	mgl575452	MILM55_raw_joined	Kompost werk, Goettingen GmbH, Germany	9.90916666666667	1	7	1	7	compost soil	ENVO:00005747	5	c7150eb1656d676d343734313938322e33	false	MILM55_raw_joined	4.0.1	50	immediately		mgp80101	Raw	true	97	mgs575450	55	h_sapiens	illumina	20245591	WGS
Senta	Blanquet	IFP Energies nouvelles	France		250.941475460152	false	0.925	721.725	terrestrial biome	ENVO:00000446	true	464677624	2013-03-12	France	2013-11-21T15:41:28	false	0.172	plant-associated	mge471627	LCBS_2_AllReads_clip: plant-associated	plant-associated	waste treatment plant	ENVO:00002272		fna	true	true		metagenome	111751	48.807	mgl471628	LCBS_2_AllReads_clip	Versailles	2.137	1	7	1	7	compost	ENVO:00002170	5	5227c586716d676d343534343131382e33	true	LCBS_2_AllReads_clip			never		mgp6843	Biomines	true		mgs471626	LCBS_2_AllReads_clip	e_coli	454	643843	WGS
Senta	Blanquet	IFP Energies nouvelles	France		293.710314751929	false	0.517	633.787	terrestrial biome	ENVO:00000446	true	359423342	2013-03-12	France	2014-04-07T15:55:27	false	0.202	plant-associated	mge471621	LCBLbis_AllReads_clip: plant-associated	plant-associated	waste treatment plant	ENVO:00002272		fna	true	true		metagenome	126877	48.807	mgl471622	LCBLbis_AllReads_clip	Versailles	2.137	1	7	1	7	compost	ENVO:00002170	5	0da8cc3bd96d676d343535393234342e33	true	LCBLbis_AllReads_clip			never		mgp6843	Biomines	true		mgs471620	LCBLbis_AllReads_clip	h_sapiens_asm	454	567104	WGS
Senta	Blanquet	IFP Energies nouvelles	France		369.032718677232	false	0.879	729.359	terrestrial biome	ENVO:00000446	true	471147560	2013-03-12	France	2014-04-07T15:55:27	false	0.167	plant-associated	mge471618	CI_AllReads_clip: plant-associated	plant-associated	waste treatment plant	ENVO:00002272		fna	true	true		metagenome	126876	48.807	mgl471619	CI_AllReads_clip	Versailles	2.137	1	7	1	7	compost	ENVO:00002170	5	c1076735506d676d343535393234332e33	true	CI_AllReads_clip			never		mgp6843	Biomines	true		mgs471617	CI_AllReads_clip	h_sapiens_asm	454	645975	WGS
Senta	Blanquet	IFP Energies nouvelles	France		264.428886445385	false	0.889	697.537	terrestrial biome	ENVO:00000446	true	446242310	2013-03-12	France	2013-11-21T15:41:28	false	0.478	plant-associated	mge471624	LCBS_1_AllReads_clip: plant-associated	plant-associated	waste treatment plant	ENVO:00002272		fna	true	true		metagenome	111750	48.807	mgl471625	LCBS_1_AllReads_clip	Versailles	2.137	1	7	1	7	compost	ENVO:00002170	5	41f37c5ab56d676d343534343131372e33	true	LCBS_1_AllReads_clip			never		mgp6843	Biomines	true		mgs471623	LCBS_1_AllReads_clip	e_coli	454	639740	WGS
Senta	Blanquet	IFP Energies nouvelles	France		313.075871766613	false	0.559	687.172	terrestrial biome	ENVO:00000446	true	385644863	2013-03-12	France	2013-11-21T15:41:28	false	0.614	plant-associated	mge471633	LCBL_2_AllReads_clip: plant-associated	plant-associated	waste treatment plant	ENVO:00002272		fna	true	true		metagenome	111749	48.807	mgl471634	LCBL_2_AllReads_clip	Versailles	2.137	1	7	1	7	compost	ENVO:00002170	5	c17b9741156d676d343534343131362e33	true	LCBL_2_AllReads_clip			never		mgp6843	Biomines	true		mgs471632	LCBL_2_AllReads_clip	e_coli	454	561206	WGS
Senta	Blanquet	IFP Energies nouvelles	France		319.177581009732	false	0.558	625.304	terrestrial biome	ENVO:00000446	true	370354048	2013-03-12	France	2013-11-21T15:41:28	false	0.282	plant-associated	mge471630	LCBL_1_AllReads_clip: plant-associated	plant-associated	waste treatment plant	ENVO:00002272		fna	true	true		metagenome	111748	48.807	mgl471631	LCBL_1_AllReads_clip	Versailles	2.137	1	7	1	7	compost	ENVO:00002170	5	4e67304f176d676d343534343131352e33	true	LCBL_1_AllReads_clip			never		mgp6843	Biomines	true		mgs471629	LCBL_1_AllReads_clip	e_coli	454	592278	WGS
