Search performed Sat Nov 07 2020 19:40:06 GMT+0100 (hora estándar de Europa central) by Aritz Durana searching all fields for "compost" searchfields: sequence_type - wgs all matches. (147 total)
PI_firstname	PI_lastname	PI_organization	PI_organization_country	aa_pid	alpha_diversity_shannon	assembled	average_gc_ratio_raw	average_length_raw	biome	biome_id	bowtie	bp_count_raw	collection_date	country	created_on	depth	dereplicate	drisee_score_raw	elevation	env_package	env_package_id	env_package_name	env_package_type	feature	feature_id	fgs_type	file_type	filter_ambig	filter_ln	filter_ln_mult	investigation_type	job_id	latitude	library_id	library_name	location	longitude	m5nr_annotation_version	m5nr_sims_version	m5rna_annotation_version	m5rna_sims_version	material	material_id	max_ambig	metagenome_id	mixs_compliant	name	pipeline_version	prefix_length	priority	project_id	project_name	public	rna_pid	sample_id	sample_name	screen_indexes	seq_meth	sequence_count_raw	sequence_type
Mingji	Lu	Gottingen university	Germany	90	12.2690228259287	false	0.432	150	terrestrial biome	ENVO:00000446	false	12406499400	2012-07-11	USA	2017-04-23T20:46:02		true	44.774		soil	mge575812	C_3: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	310173	37.840898	mgl575813	PRJNA366683	Emeryville, CA	-122.289614	1	7	1	7	compost soil	ENVO:00005747	5	c83dec93a86d676d343734323534302e33	false	PRJNA366683	4.0.1	50	immediately	mgp80207	reference_metagenome	true	97	mgs575811	C_3	h_sapiens	illumina	82709996	WGS
Mingji	Lu	Gottingen university	Germany	90	7.94836435930683	false	0.53	76	terrestrial biome	ENVO:00000446	true	5137116944	2012-07-03	USA	2017-05-02T20:27:02		true	1.772		soil	mge577960	C_6: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	311612	38.5382364	mgl577961	PRJNA337828	California, University of UC Davis	-121.7639012	1	7	1	7	compost soil	ENVO:00005747	5	24160cf07c6d676d343734333937392e33	false	PRJNA337828	4.0.1	50	immediately	mgp80207	reference_metagenome	true	97	mgs577959	C_6	h_sapiens	illumina	67593644	WGS
Mingji	Lu	Gottingen university	Germany	90	214.224708993137	false	0.706	150	terrestrial biome	ENVO:00000446	true	13004844300	2010-11-01	USA	2017-06-05T19:00:59		true	44.37		soil	mge585796	C_9: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	317006	38.5402727	mgl585797	SRX2020014	California	-121.7500776	1	7	1	7	compost soil	ENVO:00005747	5	48088fe5ab6d676d343734393337332e33	false	SRX2020014	4.0.2	50	immediately	mgp80207	reference_metagenome	true	97	SRX2020014	C_9	h_sapiens	illumina	86698962	WGS
Mingji	Lu	Gottingen university	Germany	90	224.158710181233	false	0.673	150	terrestrial biome	ENVO:00000446	true	20370357000	2012-02-08	USA	2017-06-05T19:01:05		true	47.326		soil	mge585808	C_13: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	317007	37.454581	mgl585809	SRX2021085	Milpitas, CA	-121.928712	1	7	1	7	compost soil	ENVO:00005747	5	d5641d7b4c6d676d343734393337342e33	false	SRX2021085	4.0.2	50	immediately	mgp80207	reference_metagenome	true	97	SRX2021085	C_13	h_sapiens	illumina	135802380	WGS
Mingji	Lu	Gottingen university	Germany	90	189.266832924325	false	0.974	150	terrestrial biome	ENVO:00000446	true	12615445200	2012-02-08	USA	2017-06-05T19:01:17		true	45.733		soil	mge585799	C_10: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	317009	37.454581	mgl585800	SRX2021064	Milpitas, CA	-121.928712	1	7	1	7	compost soil	ENVO:00005747	5	d239366fd66d676d343734393337362e33	false	SRX2021064	4.0.2	50	immediately	mgp80207	reference_metagenome	true	97	SRX2021064	C_10	h_sapiens	illumina	84102968	WGS
Mingji	Lu	Gottingen university	Germany	90	414.811756431283	false	0.573	150	terrestrial biome	ENVO:00000446	false	12040881600	2012-06-27	USA	2017-04-23T20:46:51		true	44.909		soil	mge575794	C_1: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	310178	37.86971	mgl575795	PRJNA366676	Berkeley, Ca	-122.31414	1	7	1	7	compost soil	ENVO:00005747	5	9fd0f6706a6d676d343734323534352e33	false	PRJNA366676	4.0.2	50	immediately	mgp80207	reference_metagenome	true	97	mgs575793	C_1	h_sapiens	illumina	80272544	WGS
Mingji	Lu	Gottingen university	Germany	90	297.670779704906	false	0.696	150	terrestrial biome	ENVO:00000446	false	14467141800	2012-07-11	USA	2017-04-23T20:45:31		true	45.255		soil	mge575815	C_4: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	310170	37.840898	mgl575816	PRJNA366677	Emeryville, CA	-122.289614	1	7	1	7	compost soil	ENVO:00005747	5	c2674f87776d676d343734323533372e33	false	PRJNA366677	4.0.1	50	immediately	mgp80207	reference_metagenome	true	97	mgs575814	C_4	h_sapiens	illumina	96447612	WGS
mingji	Lu	Gottingen university	Germany	90	405.409660382544	false	1.046	121.385	terrestrial biome	ENVO:00000446	false	2105754665	2012-02-06	Germany	2017-04-15T17:32:59		true	16.004		soil	mge575454	76.0: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	309616	51.5736388888889	mgl575455	MILM76_raw_joined	Kompost werk, Goettingen GmbH, Germany	9.90916666666667	1	7	1	7	compost soil	ENVO:00005747	5	ed3373ed3a6d676d343734313938332e33	false	MILM76_raw_joined	4.0.1	50	immediately	mgp80101	Raw	true	97	mgs575453	76	h_sapiens	illumina	17347679	WGS
mingji	Lu	Gottingen university	Germany	90	187.328713868629	false	0.654	114.564	terrestrial biome	ENVO:00000446	false	2319414508	2012-02-06	Germany	2017-04-15T17:32:49		true	2.314		soil	mge575451	55.0: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	309615	51.5736388888889	mgl575452	MILM55_raw_joined	Kompost werk, Goettingen GmbH, Germany	9.90916666666667	1	7	1	7	compost soil	ENVO:00005747	5	49132e08d56d676d343734313938322e33	false	MILM55_raw_joined	4.0.1	50	immediately	mgp80101	Raw	true	97	mgs575450	55	h_sapiens	illumina	20245591	WGS
Senta	Blanquet	IFP Energies nouvelles	France		250.941475460152	false	0.925	721.725	terrestrial biome	ENVO:00000446	true	464677624	2013-03-12	France	2013-11-21T15:41:28		false	0.172		plant-associated	mge471627	LCBS_2_AllReads_clip: plant-associated	plant-associated	waste treatment plant	ENVO:00002272		fna	true	true		metagenome	111751	48.807	mgl471628	LCBS_2_AllReads_clip	Versailles	2.137	1	7	1	7	compost	ENVO:00002170	5	b633c4fc896d676d343534343131382e33	true	LCBS_2_AllReads_clip			never	mgp6843	Biomines	true		mgs471626	LCBS_2_AllReads_clip	e_coli	454	643843	WGS
